BusinessName,Date,CustomerID,Product,Quantity,TotalAmount
Tech Emporium,2024-12-24,7219,Product D,1,58.78
Tech Emporium,2024-12-24,5263,Product B,4,286.74
Tech Emporium,2024-12-24,7376,Product B,3,108.64
Tech Emporium,2024-12-24,1217,Product C,8,79.35
Tech Emporium,2024-12-24,7144,Product B,5,131.69
Tech Emporium,2024-12-24,4362,Product B,9,56.9
Tech Emporium,2024-12-24,5712,Product B,10,44.8
Tech Emporium,2024-12-24,2279,Product A,4,228.26
Tech Emporium,2024-12-24,9224,Product C,2,124.83
Tech Emporium,2024-12-24,5654,Product A,10,42.85
Tech Emporium,2024-12-24,7879,Product D,5,83.48
Tech Emporium,2024-12-24,7048,Product C,3,182.27
Tech Emporium,2024-12-24,8564,Product A,6,92.43
Tech Emporium,2024-12-24,5201,Product C,3,223.93
Tech Emporium,2024-12-24,7824,Product A,9,269.14
Tech Emporium,2024-12-24,3740,Product C,2,266.06
Tech Emporium,2024-12-24,2822,Product D,5,256.96
Tech Emporium,2024-12-24,7805,Product D,9,102.09
Tech Emporium,2024-12-24,6746,Product B,1,192.54
Tech Emporium,2024-12-24,4604,Product C,6,267.56
Tech Emporium,2024-12-24,3746,Product D,1,158.5
Tech Emporium,2024-12-24,7172,Product A,5,250.16
Tech Emporium,2024-12-24,7514,Product C,3,47.93
Tech Emporium,2024-12-24,8416,Product C,9,73.58
Tech Emporium,2024-12-24,7942,Product D,6,98.02
Tech Emporium,2024-12-24,6938,Product B,3,287.02
Tech Emporium,2024-12-24,2597,Product A,3,218.28
Tech Emporium,2024-12-24,5201,Product D,7,73.62
Tech Emporium,2024-12-24,8037,Product B,9,83.0
Tech Emporium,2024-12-24,3814,Product D,5,108.61
Tech Emporium,2024-12-24,2884,Product D,2,40.44
Tech Emporium,2024-12-24,3237,Product D,6,208.23
Tech Emporium,2024-12-24,7287,Product B,8,180.49
Tech Emporium,2024-12-24,1976,Product A,1,299.46
Tech Emporium,2024-12-24,8663,Product A,6,109.32
Tech Emporium,2024-12-24,1306,Product D,2,56.98
Tech Emporium,2024-12-24,8642,Product D,9,257.96
Tech Emporium,2024-12-24,8503,Product B,4,73.55
Tech Emporium,2024-12-24,1240,Product D,4,23.9
Tech Emporium,2024-12-24,1865,Product D,6,162.37
Tech Emporium,2024-12-24,7863,Product A,5,102.59
Tech Emporium,2024-12-24,5886,Product B,8,276.54
Tech Emporium,2024-12-24,4423,Product B,6,215.21
Tech Emporium,2024-12-24,4155,Product A,3,160.74
Tech Emporium,2024-12-24,1103,Product C,2,67.2
Tech Emporium,2024-12-24,7867,Product C,10,239.24
Tech Emporium,2024-12-24,1830,Product D,3,80.49
Tech Emporium,2024-12-24,5157,Product B,4,58.31
Tech Emporium,2024-12-24,9562,Product C,5,82.32
Tech Emporium,2024-12-24,6571,Product B,3,41.12
